SEER_Draw	Stage	Sex	Lower	Upper	Index	alive_start	died	lost	css_i	css_c
Gallbladder	I	Female	40	44	109	7	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	110	7	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	111	7	0	1	1	0.5300494181412403
Gallbladder	I	Female	40	44	112	6	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	113	6	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	114	6	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	115	6	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	116	6	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	117	6	0	1	1	0.5300494181412403
Gallbladder	I	Female	40	44	118	5	0	1	1	0.5300494181412403
Gallbladder	I	Female	40	44	119	4	0	1	1	0.5300494181412403
Gallbladder	I	Female	40	44	120	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	121	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	122	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	123	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	124	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	125	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	126	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	127	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	128	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	129	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	130	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	131	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	132	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	133	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	134	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	135	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	136	3	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	137	3	0	2	1	0.5300494181412403
Gallbladder	I	Female	40	44	138	1	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	139	1	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	140	1	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	141	1	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	142	1	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	143	1	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	144	1	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	145	1	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	146	1	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	147	1	0	1	1	0.5300494181412403
Gallbladder	I	Female	40	44	148	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	149	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	150	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	151	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	152	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	153	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	154	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	155	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	156	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	157	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	158	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	159	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	160	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	161	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	162	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	163	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	164	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	165	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	166	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	167	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	168	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	169	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	170	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	171	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	172	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	173	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	174	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	175	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	176	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	177	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	178	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	40	44	179	0	0	0	1	0.5300494181412403
Gallbladder	I	Female	45	49	1	81	0	5	1	1
Gallbladder	I	Female	45	49	2	76	1	1	0.9868421052631579	0.9868421052631579
Gallbladder	I	Female	45	49	3	74	2	0	0.972972972972973	0.9601706970128023
Gallbladder	I	Female	45	49	4	72	0	0	1	0.9601706970128023
Gallbladder	I	Female	45	49	5	72	1	0	0.9861111111111112	0.9468349928876245
Gallbladder	I	Female	45	49	6	71	3	0	0.9577464788732395	0.9068278805120912
Gallbladder	I	Female	45	49	7	68	1	0	0.9852941176470589	0.8934921763869134
Gallbladder	I	Female	45	49	8	67	0	0	1	0.8934921763869134
Gallbladder	I	Female	45	49	9	67	1	1	0.9850746268656716	0.8801564722617355
Gallbladder	I	Female	45	49	10	65	0	1	1	0.8801564722617355
Gallbladder	I	Female	45	49	11	64	1	0	0.984375	0.8664040273826459
Gallbladder	I	Female	45	49	12	63	2	0	0.9682539682539683	0.8388991376244667
Gallbladder	I	Female	45	49	13	61	0	0	1	0.8388991376244667
Gallbladder	I	Female	45	49	14	61	2	0	0.9672131147540983	0.8113942478662874
Gallbladder	I	Female	45	49	15	59	0	0	1	0.8113942478662874
Gallbladder	I	Female	45	49	16	59	0	0	1	0.8113942478662874
Gallbladder	I	Female	45	49	17	59	0	0	1	0.8113942478662874
Gallbladder	I	Female	45	49	18	59	1	0	0.9830508474576272	0.7976418029871979
Gallbladder	I	Female	45	49	19	58	0	0	1	0.7976418029871979
Gallbladder	I	Female	45	49	20	58	1	0	0.9827586206896551	0.7838893581081082
Gallbladder	I	Female	45	49	21	57	1	0	0.9824561403508771	0.7701369132290186
Gallbladder	I	Female	45	49	22	56	0	0	1	0.7701369132290186
Gallbladder	I	Female	45	49	23	56	0	0	1	0.7701369132290186
Gallbladder	I	Female	45	49	24	56	0	0	1	0.7701369132290186
Gallbladder	I	Female	45	49	25	56	0	1	1	0.7701369132290186
Gallbladder	I	Female	45	49	26	55	0	1	1	0.7701369132290186
Gallbladder	I	Female	45	49	27	54	0	0	1	0.7701369132290186
Gallbladder	I	Female	45	49	28	54	1	0	0.9814814814814815	0.7558751185395923
Gallbladder	I	Female	45	49	29	53	0	0	1	0.7558751185395923
Gallbladder	I	Female	45	49	30	53	1	0	0.9811320754716981	0.741613323850166
Gallbladder	I	Female	45	49	31	52	2	0	0.9615384615384616	0.7130897344713135
Gallbladder	I	Female	45	49	32	50	0	0	1	0.7130897344713135
Gallbladder	I	Female	45	49	33	50	1	0	0.98	0.6988279397818872
Gallbladder	I	Female	45	49	34	49	0	0	1	0.6988279397818872
Gallbladder	I	Female	45	49	35	49	2	0	0.9591836734693877	0.6703043504030346
Gallbladder	I	Female	45	49	36	47	1	0	0.9787234042553191	0.6560425557136084
Gallbladder	I	Female	45	49	37	46	0	0	1	0.6560425557136084
Gallbladder	I	Female	45	49	38	46	1	0	0.9782608695652174	0.6417807610241821
Gallbladder	I	Female	45	49	39	45	1	0	0.9777777777777777	0.6275189663347558
Gallbladder	I	Female	45	49	40	44	1	0	0.9772727272727273	0.6132571716453296
Gallbladder	I	Female	45	49	41	43	0	0	1	0.6132571716453296
Gallbladder	I	Female	45	49	42	43	1	0	0.9767441860465116	0.5989953769559032
Gallbladder	I	Female	45	49	43	42	1	1	0.9761904761904762	0.584733582266477
Gallbladder	I	Female	45	49	44	40	0	1	1	0.584733582266477
Gallbladder	I	Female	45	49	45	39	0	0	1	0.584733582266477
Gallbladder	I	Female	45	49	46	39	0	0	1	0.584733582266477
Gallbladder	I	Female	45	49	47	39	0	0	1	0.584733582266477
Gallbladder	I	Female	45	49	48	39	0	0	1	0.584733582266477
Gallbladder	I	Female	45	49	49	39	0	0	1	0.584733582266477
Gallbladder	I	Female	45	49	50	39	1	0	0.9743589743589743	0.5697404134904135
Gallbladder	I	Female	45	49	51	38	0	0	1	0.5697404134904135
Gallbladder	I	Female	45	49	52	38	0	0	1	0.5697404134904135
Gallbladder	I	Female	45	49	53	38	0	0	1	0.5697404134904135
Gallbladder	I	Female	45	49	54	38	0	0	1	0.5697404134904135
Gallbladder	I	Female	45	49	55	38	0	1	1	0.5697404134904135
Gallbladder	I	Female	45	49	56	37	0	0	1	0.5697404134904135
Gallbladder	I	Female	45	49	57	37	0	0	1	0.5697404134904135
Gallbladder	I	Female	45	49	58	37	0	0	1	0.5697404134904135
Gallbladder	I	Female	45	49	59	37	0	0	1	0.5697404134904135
Gallbladder	I	Female	45	49	60	37	0	1	1	0.5697404134904135
Gallbladder	I	Female	45	49	61	36	0	0	1	0.5697404134904135
Gallbladder	I	Female	45	49	62	36	1	2	0.9722222222222222	0.5539142908934576
Gallbladder	I	Female	45	49	63	33	0	0	1	0.5539142908934576
Gallbladder	I	Female	45	49	64	33	0	0	1	0.5539142908934576
Gallbladder	I	Female	45	49	65	33	0	0	1	0.5539142908934576
Gallbladder	I	Female	45	49	66	33	0	0	1	0.5539142908934576
Gallbladder	I	Female	45	49	67	33	0	1	1	0.5539142908934576
Gallbladder	I	Female	45	49	68	32	0	0	1	0.5539142908934576
Gallbladder	I	Female	45	49	69	32	0	1	1	0.5539142908934576
Gallbladder	I	Female	45	49	70	31	0	0	1	0.5539142908934576
Gallbladder	I	Female	45	49	71	31	0	0	1	0.5539142908934576
Gallbladder	I	Female	45	49	72	31	0	1	1	0.5539142908934576
Gallbladder	I	Female	45	49	73	30	0	0	1	0.5539142908934576
Gallbladder	I	Female	45	49	74	30	0	2	1	0.5539142908934576
Gallbladder	I	Female	45	49	75	28	0	0	1	0.5539142908934576
Gallbladder	I	Female	45	49	76	28	0	2	1	0.5539142908934576
Gallbladder	I	Female	45	49	77	26	0	4	1	0.5539142908934576
Gallbladder	I	Female	45	49	78	22	0	3	1	0.5539142908934576
Gallbladder	I	Female	45	49	79	19	0	0	1	0.5539142908934576
Gallbladder	I	Female	45	49	80	19	0	0	1	0.5539142908934576
Gallbladder	I	Female	45	49	81	19	0	1	1	0.5539142908934576
Gallbladder	I	Female	45	49	82	18	1	1	0.9444444444444444	0.5231412747327099
Gallbladder	I	Female	45	49	83	16	0	1	1	0.5231412747327099
Gallbladder	I	Female	45	49	84	15	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	85	15	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	86	15	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	87	15	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	88	15	0	1	1	0.5231412747327099
Gallbladder	I	Female	45	49	89	14	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	90	14	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	91	14	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	92	14	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	93	14	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	94	14	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	95	14	0	1	1	0.5231412747327099
Gallbladder	I	Female	45	49	96	13	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	97	13	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	98	13	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	99	13	0	2	1	0.5231412747327099
Gallbladder	I	Female	45	49	100	11	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	101	11	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	102	11	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	103	11	0	1	1	0.5231412747327099
Gallbladder	I	Female	45	49	104	10	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	105	10	0	1	1	0.5231412747327099
Gallbladder	I	Female	45	49	106	9	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	107	9	0	2	1	0.5231412747327099
Gallbladder	I	Female	45	49	108	7	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	109	7	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	110	7	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	111	7	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	112	7	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	113	7	0	1	1	0.5231412747327099
Gallbladder	I	Female	45	49	114	6	0	1	1	0.5231412747327099
Gallbladder	I	Female	45	49	115	5	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	116	5	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	117	5	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	118	5	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	119	5	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	120	5	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	121	5	0	2	1	0.5231412747327099
Gallbladder	I	Female	45	49	122	3	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	123	3	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	124	3	0	1	1	0.5231412747327099
Gallbladder	I	Female	45	49	125	2	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	126	2	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	127	2	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	128	2	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	129	2	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	130	2	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	131	2	0	1	1	0.5231412747327099
Gallbladder	I	Female	45	49	132	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	133	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	134	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	135	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	136	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	137	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	138	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	139	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	140	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	141	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	142	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	143	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	144	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	145	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	146	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	147	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	148	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	149	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	150	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	151	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	152	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	153	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	154	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	155	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	156	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	157	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	158	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	159	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	160	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	161	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	162	1	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	163	1	0	1	1	0.5231412747327099
Gallbladder	I	Female	45	49	164	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	165	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	166	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	167	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	168	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	169	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	170	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	171	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	172	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	173	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	174	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	175	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	176	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	177	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	178	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	45	49	179	0	0	0	1	0.5231412747327099
Gallbladder	I	Female	50	54	1	151	2	5	0.9867549668874173	0.9867549668874173
Gallbladder	I	Female	50	54	2	144	1	2	0.9930555555555556	0.979902501839588
Gallbladder	I	Female	50	54	3	141	1	1	0.9929078014184397	0.9729528387059739
Gallbladder	I	Female	50	54	4	139	2	2	0.9856115107913669	0.9589535172857441
Gallbladder	I	Female	50	54	5	135	1	2	0.9925925925925926	0.9518501578984422
Gallbladder	I	Female	50	54	6	132	0	0	1	0.9518501578984422
Gallbladder	I	Female	50	54	7	132	0	0	1	0.9518501578984422
Gallbladder	I	Female	50	54	8	132	1	1	0.9924242424242424	0.944639171853757
Gallbladder	I	Female	50	54	9	130	3	1	0.9769230769230769	0.9228398063494395
Gallbladder	I	Female	50	54	10	126	0	1	1	0.9228398063494395
Gallbladder	I	Female	50	54	11	125	1	1	0.992	0.915457087898644
Gallbladder	I	Female	50	54	12	123	0	1	1	0.915457087898644
Gallbladder	I	Female	50	54	13	122	0	0	1	0.915457087898644
Gallbladder	I	Female	50	54	14	122	1	0	0.9918032786885246	0.9079533412765239
Gallbladder	I	Female	50	54	15	121	0	2	1	0.9079533412765239
Gallbladder	I	Female	50	54	16	119	1	0	0.9915966386554622	0.900323481265797
Gallbladder	I	Female	50	54	17	118	0	0	1	0.900323481265797
Gallbladder	I	Female	50	54	18	118	0	1	1	0.900323481265797
Gallbladder	I	Female	50	54	19	117	0	0	1	0.900323481265797
Gallbladder	I	Female	50	54	20	117	1	0	0.9914529914529915	0.8926284087763456
Gallbladder	I	Female	50	54	21	116	0	0	1	0.8926284087763456
Gallbladder	I	Female	50	54	22	116	0	0	1	0.8926284087763456
Gallbladder	I	Female	50	54	23	116	1	0	0.9913793103448276	0.8849333362868945
Gallbladder	I	Female	50	54	24	115	1	1	0.991304347826087	0.8772382637974433
Gallbladder	I	Female	50	54	25	113	0	1	1	0.8772382637974433
Gallbladder	I	Female	50	54	26	112	0	0	1	0.8772382637974433
Gallbladder	I	Female	50	54	27	112	0	0	1	0.8772382637974433
Gallbladder	I	Female	50	54	28	112	1	0	0.9910714285714286	0.8694057792992518
Gallbladder	I	Female	50	54	29	111	0	0	1	0.8694057792992518
